talentlinkId,skill,cleaned_description,reference_text,match_signal_score,similarity_score,semantic_evidence_score,hybrid_score,competency_score,score_band,evidence_excerpt
14265799,Data Analysis,contributed to stakeholder coordination issue tracking and process improvement activity worked with business and technology teams to refine requirements and test delivery outputs supported reporting and control improvements across a regulated programme contributed to stakeholder coordination issue tracking and process improvement activity supported reporting and control improvements across a regulated programme worked with business and technology teams to refine requirements and test delivery outputs worked with business and technology teams to refine requirements and test delivery outputs supported reporting and control improvements across a regulated programme,"Applies data analysis to interpret datasets, identify patterns, and produce actionable insights.",0.0,0.0,0.0,0.0,0.0,low,
14265799,Risk Controls,contributed to stakeholder coordination issue tracking and process improvement activity worked with business and technology teams to refine requirements and test delivery outputs supported reporting and control improvements across a regulated programme contributed to stakeholder coordination issue tracking and process improvement activity supported reporting and control improvements across a regulated programme worked with business and technology teams to refine requirements and test delivery outputs worked with business and technology teams to refine requirements and test delivery outputs supported reporting and control improvements across a regulated programme,"Applies risk controls to assess issues, strengthen governance, and improve control effectiveness.",0.0,0.015561,0.129677,0.051871,5.19,low,Supported reporting and control improvements across a regulated programme.
14265799,Python,contributed to stakeholder coordination issue tracking and process improvement activity worked with business and technology teams to refine requirements and test delivery outputs supported reporting and control improvements across a regulated programme contributed to stakeholder coordination issue tracking and process improvement activity supported reporting and control improvements across a regulated programme worked with business and technology teams to refine requirements and test delivery outputs worked with business and technology teams to refine requirements and test delivery outputs supported reporting and control improvements across a regulated programme,"Uses Python for scripting, automation, backend development, and data analysis.",0.0,0.0,0.0,0.0,0.0,low,
14265799,Regulatory Reporting,contributed to stakeholder coordination issue tracking and process improvement activity worked with business and technology teams to refine requirements and test delivery outputs supported reporting and control improvements across a regulated programme contributed to stakeholder coordination issue tracking and process improvement activity supported reporting and control improvements across a regulated programme worked with business and technology teams to refine requirements and test delivery outputs worked with business and technology teams to refine requirements and test delivery outputs supported reporting and control improvements across a regulated programme,"Supports regulatory reporting by preparing accurate submissions, validating data, and meeting reporting requirements.",0.0,0.025748,0.214567,0.085827,8.58,low,Supported reporting and control improvements across a regulated programme.
14265799,Programme Delivery,contributed to stakeholder coordination issue tracking and process improvement activity worked with business and technology teams to refine requirements and test delivery outputs supported reporting and control improvements across a regulated programme contributed to stakeholder coordination issue tracking and process improvement activity supported reporting and control improvements across a regulated programme worked with business and technology teams to refine requirements and test delivery outputs worked with business and technology teams to refine requirements and test delivery outputs supported reporting and control improvements across a regulated programme,"Supports programme delivery through planning, coordination, tracking actions, and driving milestones.",0.0,0.029177,0.243145,0.097258,9.73,low,"Contributed to stakeholder coordination, issue tracking, and process improvement activity."
70217,ETL Design,contributed to stakeholder coordination issue tracking and process improvement activity worked with business and technology teams to refine requirements and test delivery outputs supported reporting and control improvements across a regulated programme worked with business and technology teams to refine requirements and test delivery outputs worked with business and technology teams to refine requirements and test delivery outputs contributed to stakeholder coordination issue tracking and process improvement activity,"Designs ETL processes to extract, transform, validate, and load data across systems.",0.0,0.0,0.0,0.0,0.0,low,
70217,Python,contributed to stakeholder coordination issue tracking and process improvement activity worked with business and technology teams to refine requirements and test delivery outputs supported reporting and control improvements across a regulated programme worked with business and technology teams to refine requirements and test delivery outputs worked with business and technology teams to refine requirements and test delivery outputs contributed to stakeholder coordination issue tracking and process improvement activity,"Uses Python for scripting, automation, backend development, and data analysis.",0.0,0.0,0.0,0.0,0.0,low,
70217,SQL,contributed to stakeholder coordination issue tracking and process improvement activity worked with business and technology teams to refine requirements and test delivery outputs supported reporting and control improvements across a regulated programme worked with business and technology teams to refine requirements and test delivery outputs worked with business and technology teams to refine requirements and test delivery outputs contributed to stakeholder coordination issue tracking and process improvement activity,"Uses SQL to query databases, join tables, transform data, and support reporting or analysis.",0.0,0.014867,0.123889,0.049556,4.96,low,Supported reporting and control improvements across a regulated programme.
70217,Data Governance,contributed to stakeholder coordination issue tracking and process improvement activity worked with business and technology teams to refine requirements and test delivery outputs supported reporting and control improvements across a regulated programme worked with business and technology teams to refine requirements and test delivery outputs worked with business and technology teams to refine requirements and test delivery outputs contributed to stakeholder coordination issue tracking and process improvement activity,"Evidence of Data Governance includes practical delivery using Data Governance to solve problems, support implementation, analyse information, and contribute to business outcomes.",0.0,0.01707,0.142254,0.056902,5.69,low,Worked with business and technology teams to refine requirements and test delivery outputs.
271339,Python,worked with business and technology teams to refine requirements and test delivery outputs supported reporting and control improvements across a regulated programme contributed to stakeholder coordination issue tracking and process improvement activity supported reporting and control improvements across a regulated programme contributed to stakeholder coordination issue tracking and process improvement activity worked with business and technology teams to refine requirements and test delivery outputs supported reporting and control improvements across a regulated programme worked with business and technology teams to refine requirements and test delivery outputs worked with business and technology teams to refine requirements and test delivery outputs contributed to stakeholder coordination issue tracking and process improvement activity,"Uses Python for scripting, automation, backend development, and data analysis.",0.0,0.0,0.0,0.0,0.0,low,
