talentlinkId,skill_id,skill,category,cleaned_description,source,matched_aliases,evidence_snippets,taxonomy_score,tfidf_score,similarity_score,graph_boost_score,final_score,competency_score,employee_average_competency_score,score_band
14265799,SK001,Data Analysis,Analytics,experienced consultant with a background in data risk and transformation delivery experienced consultant with a background in data risk and transformation delivery supports complex programmes with a focus on quality pace and collaboration,,[],[],0.0,0.008735,0.008735,0.0,0.0,0.0,0.0,low
14265799,SK002,Data Governance,Governance,experienced consultant with a background in data risk and transformation delivery experienced consultant with a background in data risk and transformation delivery supports complex programmes with a focus on quality pace and collaboration,,[],[],0.0,0.030314,0.030314,0.0,0.0,0.0,0.0,low
14265799,SK003,ETL Design,Data Engineering,experienced consultant with a background in data risk and transformation delivery experienced consultant with a background in data risk and transformation delivery supports complex programmes with a focus on quality pace and collaboration,,[],[],0.0,0.009022,0.009022,0.0,0.0,0.0,0.0,low
14265799,SK004,Power BI,Analytics,experienced consultant with a background in data risk and transformation delivery experienced consultant with a background in data risk and transformation delivery supports complex programmes with a focus on quality pace and collaboration,,[],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,low
14265799,SK005,Programme Delivery,Delivery,experienced consultant with a background in data risk and transformation delivery experienced consultant with a background in data risk and transformation delivery supports complex programmes with a focus on quality pace and collaboration,,[],[],0.0,0.033681,0.033681,0.0,0.0,0.0,0.0,low
14265799,SK006,Python,Engineering,experienced consultant with a background in data risk and transformation delivery experienced consultant with a background in data risk and transformation delivery supports complex programmes with a focus on quality pace and collaboration,,[],[],0.0,0.009671,0.009671,0.0,0.0,0.0,0.0,low
14265799,SK007,Regulatory Reporting,Compliance,experienced consultant with a background in data risk and transformation delivery experienced consultant with a background in data risk and transformation delivery supports complex programmes with a focus on quality pace and collaboration,,[],[],0.0,0.021192,0.021192,0.0,0.0,0.0,0.0,low
14265799,SK008,Risk Controls,Risk,experienced consultant with a background in data risk and transformation delivery experienced consultant with a background in data risk and transformation delivery supports complex programmes with a focus on quality pace and collaboration,,[],[],0.0,0.026901,0.026901,0.0,0.0,0.0,0.0,low
14265799,SK009,SQL,Data Engineering,experienced consultant with a background in data risk and transformation delivery experienced consultant with a background in data risk and transformation delivery supports complex programmes with a focus on quality pace and collaboration,,[],[],0.0,0.008807,0.008807,0.0,0.0,0.0,0.0,low
14265799,SK010,Stakeholder Management,Delivery,experienced consultant with a background in data risk and transformation delivery experienced consultant with a background in data risk and transformation delivery supports complex programmes with a focus on quality pace and collaboration,,[],[],0.0,0.020017,0.020017,0.0,0.0,0.0,0.0,low
