talentlinkId,skills,biography,description,position,standardized_summary,matched_skills_json,clean_skill_evidence_text
14265799,"['Data Analysis', 'Risk Controls', 'Python', 'Regulatory Reporting', 'Programme Delivery']","Experienced consultant with a background in data, risk, and transformation delivery. Supports complex programmes with a focus on quality, pace, and collaboration.",experienced consultant with a background in data risk and transformation delivery experienced consultant with a background in data risk and transformation delivery supports complex programmes with a focus on quality pace and collaboration,Senior Consultant Consultant Data Analyst Risk Analyst Project Analyst Business Analyst,"Biography: Experienced consultant with a background in data, risk, and transformation delivery. Supports complex programmes with a focus on quality, pace, and collaboration.","[{""skill"": ""Data Analysis"", ""evidence_phrase"": ""Experienced consultant with a background in data, risk, and transformation delivery."", ""evidence_sentence"": ""Experienced consultant with a background in data, risk, and transformation delivery."", ""evidence_strength"": ""low""}, {""skill"": ""Risk Controls"", ""evidence_phrase"": ""Experienced consultant with a background in data, risk, and transformation delivery."", ""evidence_sentence"": ""Experienced consultant with a background in data, risk, and transformation delivery."", ""evidence_strength"": ""low""}, {""skill"": ""Python"", ""evidence_phrase"": ""Experienced consultant with a background in data, risk, and transformation delivery."", ""evidence_sentence"": ""Experienced consultant with a background in data, risk, and transformation delivery."", ""evidence_strength"": ""low""}, {""skill"": ""Regulatory Reporting"", ""evidence_phrase"": ""Experienced consultant with a background in data, risk, and transformation delivery."", ""evidence_sentence"": ""Experienced consultant with a background in data, risk, and transformation delivery."", ""evidence_strength"": ""low""}, {""skill"": ""Programme Delivery"", ""evidence_phrase"": ""Experienced consultant with a background in data, risk, and transformation delivery."", ""evidence_sentence"": ""Experienced consultant with a background in data, risk, and transformation delivery."", ""evidence_strength"": ""low""}]",experienced consultant with a background in data risk and transformation delivery experienced consultant with a background in data risk and transformation delivery supports complex programmes with a focus on quality pace and collaboration
70217,"['ETL Design', 'Python', 'SQL', 'Data Governance']","Consulting professional supporting data quality, governance, and delivery outcomes. Supports complex programmes with a focus on quality, pace, and collaboration.",consulting professional supporting data quality governance and delivery outcomes,Project Analyst Data Analyst Consultant Business Analyst Senior Consultant,"Biography: Consulting professional supporting data quality, governance, and delivery outcomes. Supports complex programmes with a focus on quality, pace, and collaboration.","[{""skill"": ""ETL Design"", ""evidence_phrase"": ""Consulting professional supporting data quality, governance, and delivery outcomes."", ""evidence_sentence"": ""Consulting professional supporting data quality, governance, and delivery outcomes."", ""evidence_strength"": ""low""}, {""skill"": ""Python"", ""evidence_phrase"": ""Consulting professional supporting data quality, governance, and delivery outcomes."", ""evidence_sentence"": ""Consulting professional supporting data quality, governance, and delivery outcomes."", ""evidence_strength"": ""low""}, {""skill"": ""SQL"", ""evidence_phrase"": ""Consulting professional supporting data quality, governance, and delivery outcomes."", ""evidence_sentence"": ""Consulting professional supporting data quality, governance, and delivery outcomes."", ""evidence_strength"": ""low""}, {""skill"": ""Data Governance"", ""evidence_phrase"": ""Consulting professional supporting data quality, governance, and delivery outcomes."", ""evidence_sentence"": ""Consulting professional supporting data quality, governance, and delivery outcomes."", ""evidence_strength"": ""medium""}]",consulting professional supporting data quality governance and delivery outcomes
271339,"['Python', 'Data Governance', 'Regulatory Reporting', 'Data Analysis', 'Power BI', 'Risk Controls', 'ETL Design', 'Programme Delivery', 'Stakeholder Management']","Experienced consultant with a background in data, risk, and transformation delivery. Supports complex programmes with a focus on quality, pace, and collaboration.",experienced consultant with a background in data risk and transformation delivery experienced consultant with a background in data risk and transformation delivery supports complex programmes with a focus on quality pace and collaboration,Senior Consultant Consultant Risk Analyst,"Biography: Experienced consultant with a background in data, risk, and transformation delivery. Supports complex programmes with a focus on quality, pace, and collaboration.","[{""skill"": ""Python"", ""evidence_phrase"": ""Experienced consultant with a background in data, risk, and transformation delivery."", ""evidence_sentence"": ""Experienced consultant with a background in data, risk, and transformation delivery."", ""evidence_strength"": ""low""}, {""skill"": ""Data Governance"", ""evidence_phrase"": ""Experienced consultant with a background in data, risk, and transformation delivery."", ""evidence_sentence"": ""Experienced consultant with a background in data, risk, and transformation delivery."", ""evidence_strength"": ""low""}, {""skill"": ""Regulatory Reporting"", ""evidence_phrase"": ""Experienced consultant with a background in data, risk, and transformation delivery."", ""evidence_sentence"": ""Experienced consultant with a background in data, risk, and transformation delivery."", ""evidence_strength"": ""low""}, {""skill"": ""Data Analysis"", ""evidence_phrase"": ""Experienced consultant with a background in data, risk, and transformation delivery."", ""evidence_sentence"": ""Experienced consultant with a background in data, risk, and transformation delivery."", ""evidence_strength"": ""low""}, {""skill"": ""Power BI"", ""evidence_phrase"": ""Experienced consultant with a background in data, risk, and transformation delivery."", ""evidence_sentence"": ""Experienced consultant with a background in data, risk, and transformation delivery."", ""evidence_strength"": ""low""}, {""skill"": ""Risk Controls"", ""evidence_phrase"": ""Experienced consultant with a background in data, risk, and transformation delivery."", ""evidence_sentence"": ""Experienced consultant with a background in data, risk, and transformation delivery."", ""evidence_strength"": ""low""}, {""skill"": ""ETL Design"", ""evidence_phrase"": ""Experienced consultant with a background in data, risk, and transformation delivery."", ""evidence_sentence"": ""Experienced consultant with a background in data, risk, and transformation delivery."", ""evidence_strength"": ""low""}, {""skill"": ""Programme Delivery"", ""evidence_phrase"": ""Experienced consultant with a background in data, risk, and transformation delivery."", ""evidence_sentence"": ""Experienced consultant with a background in data, risk, and transformation delivery."", ""evidence_strength"": ""low""}]",experienced consultant with a background in data risk and transformation delivery experienced consultant with a background in data risk and transformation delivery supports complex programmes with a focus on quality pace and collaboration
88320463,"['Regulatory Reporting', 'ETL Design', 'Stakeholder Management', 'Programme Delivery', 'Data Governance', 'Data Analysis', 'Power BI', 'SQL', 'Python']","Experienced consultant with a background in data, risk, and transformation delivery. Brings a practical approach to structured problem solving and cross-functional delivery.",experienced consultant with a background in data risk and transformation delivery brings a practical approach to structured problem solving and cross functional delivery experienced consultant with a background in data risk and transformation delivery brings a practical approach to structured problem solving and cross functional delivery,Senior Consultant Project Analyst Risk Analyst Data Analyst Business Analyst,"Biography: Experienced consultant with a background in data, risk, and transformation delivery. Brings a practical approach to structured problem solving and cross-functional delivery.","[{""skill"": ""Regulatory Reporting"", ""evidence_phrase"": ""Experienced consultant with a background in data, risk, and transformation delivery."", ""evidence_sentence"": ""Experienced consultant with a background in data, risk, and transformation delivery."", ""evidence_strength"": ""low""}, {""skill"": ""ETL Design"", ""evidence_phrase"": ""Experienced consultant with a background in data, risk, and transformation delivery."", ""evidence_sentence"": ""Experienced consultant with a background in data, risk, and transformation delivery."", ""evidence_strength"": ""low""}, {""skill"": ""Stakeholder Management"", ""evidence_phrase"": ""Brings a practical approach to structured problem solving and cross-functional delivery."", ""evidence_sentence"": ""Brings a practical approach to structured problem solving and cross-functional delivery."", ""evidence_strength"": ""low""}, {""skill"": ""Programme Delivery"", ""evidence_phrase"": ""Experienced consultant with a background in data, risk, and transformation delivery."", ""evidence_sentence"": ""Experienced consultant with a background in data, risk, and transformation delivery."", ""evidence_strength"": ""low""}, {""skill"": ""Data Governance"", ""evidence_phrase"": ""Experienced consultant with a background in data, risk, and transformation delivery."", ""evidence_sentence"": ""Experienced consultant with a background in data, risk, and transformation delivery."", ""evidence_strength"": ""low""}, {""skill"": ""Data Analysis"", ""evidence_phrase"": ""Experienced consultant with a background in data, risk, and transformation delivery."", ""evidence_sentence"": ""Experienced consultant with a background in data, risk, and transformation delivery."", ""evidence_strength"": ""low""}, {""skill"": ""Power BI"", ""evidence_phrase"": ""Experienced consultant with a background in data, risk, and transformation delivery."", ""evidence_sentence"": ""Experienced consultant with a background in data, risk, and transformation delivery."", ""evidence_strength"": ""low""}, {""skill"": ""SQL"", ""evidence_phrase"": ""Experienced consultant with a background in data, risk, and transformation delivery."", ""evidence_sentence"": ""Experienced consultant with a background in data, risk, and transformation delivery."", ""evidence_strength"": ""low""}, {""skill"": ""Python"", ""evidence_phrase"": ""Experienced consultant with a background in data, risk, and transformation delivery."", ""evidence_sentence"": ""Experienced consultant with a background in data, risk, and transformation delivery."", ""evidence_strength"": ""low""}]",experienced consultant with a background in data risk and transformation delivery brings a practical approach to structured problem solving and cross functional delivery experienced consultant with a background in data risk and transformation delivery brings a practical approach to structured problem solving and cross functional delivery
170674,"['SQL', 'Programme Delivery', 'Data Governance', 'Python', 'Data Analysis', 'Power BI', 'Regulatory Reporting', 'Stakeholder Management', 'Risk Controls', 'ETL Design']","Consulting professional supporting data quality, governance, and delivery outcomes. Comfortable translating business needs into clear analysis and execution plans.",consulting professional supporting data quality governance and delivery outcomes comfortable translating business needs into clear analysis and execution plans consulting professional supporting data quality governance and delivery outcomes,Senior Consultant Data Analyst,"Biography: Consulting professional supporting data quality, governance, and delivery outcomes. Comfortable translating business needs into clear analysis and execution plans.","[{""skill"": ""SQL"", ""evidence_phrase"": ""Consulting professional supporting data quality, governance, and delivery outcomes."", ""evidence_sentence"": ""Consulting professional supporting data quality, governance, and delivery outcomes."", ""evidence_strength"": ""low""}, {""skill"": ""Programme Delivery"", ""evidence_phrase"": ""Consulting professional supporting data quality, governance, and delivery outcomes."", ""evidence_sentence"": ""Consulting professional supporting data quality, governance, and delivery outcomes."", ""evidence_strength"": ""low""}, {""skill"": ""Data Governance"", ""evidence_phrase"": ""Consulting professional supporting data quality, governance, and delivery outcomes."", ""evidence_sentence"": ""Consulting professional supporting data quality, governance, and delivery outcomes."", ""evidence_strength"": ""medium""}, {""skill"": ""Python"", ""evidence_phrase"": ""Consulting professional supporting data quality, governance, and delivery outcomes."", ""evidence_sentence"": ""Consulting professional supporting data quality, governance, and delivery outcomes."", ""evidence_strength"": ""low""}, {""skill"": ""Data Analysis"", ""evidence_phrase"": ""Consulting professional supporting data quality, governance, and delivery outcomes."", ""evidence_sentence"": ""Consulting professional supporting data quality, governance, and delivery outcomes."", ""evidence_strength"": ""low""}, {""skill"": ""Power BI"", ""evidence_phrase"": ""Consulting professional supporting data quality, governance, and delivery outcomes."", ""evidence_sentence"": ""Consulting professional supporting data quality, governance, and delivery outcomes."", ""evidence_strength"": ""low""}, {""skill"": ""Regulatory Reporting"", ""evidence_phrase"": ""Consulting professional supporting data quality, governance, and delivery outcomes."", ""evidence_sentence"": ""Consulting professional supporting data quality, governance, and delivery outcomes."", ""evidence_strength"": ""low""}, {""skill"": ""Risk Controls"", ""evidence_phrase"": ""Consulting professional supporting data quality, governance, and delivery outcomes."", ""evidence_sentence"": ""Consulting professional supporting data quality, governance, and delivery outcomes."", ""evidence_strength"": ""low""}, {""skill"": ""ETL Design"", ""evidence_phrase"": ""Consulting professional supporting data quality, governance, and delivery outcomes."", ""evidence_sentence"": ""Consulting professional supporting data quality, governance, and delivery outcomes."", ""evidence_strength"": ""low""}]",consulting professional supporting data quality governance and delivery outcomes comfortable translating business needs into clear analysis and execution plans consulting professional supporting data quality governance and delivery outcomes
662336,"['ETL Design', 'SQL', 'Power BI', 'Data Governance', 'Regulatory Reporting', 'Stakeholder Management', 'Risk Controls', 'Data Analysis', 'Python', 'Programme Delivery']","Business-focused analyst with experience across reporting, controls, and stakeholder engagement. Brings a practical approach to structured problem solving and cross-functional delivery.",business focused analyst with experience across reporting controls and stakeholder engagement brings a practical approach to structured problem solving and cross functional delivery business focused analyst with experience across reporting controls and stakeholder engagement brings a practical approach to structured problem solving and cross functional delivery,Senior Consultant Data Analyst Business Analyst Risk Analyst,"Biography: Business-focused analyst with experience across reporting, controls, and stakeholder engagement. Brings a practical approach to structured problem solving and cross-functional delivery.","[{""skill"": ""SQL"", ""evidence_phrase"": ""Business-focused analyst with experience across reporting, controls, and stakeholder engagement."", ""evidence_sentence"": ""Business-focused analyst with experience across reporting, controls, and stakeholder engagement."", ""evidence_strength"": ""low""}, {""skill"": ""Power BI"", ""evidence_phrase"": ""Business-focused analyst with experience across reporting, controls, and stakeholder engagement."", ""evidence_sentence"": ""Business-focused analyst with experience across reporting, controls, and stakeholder engagement."", ""evidence_strength"": ""low""}, {""skill"": ""Data Governance"", ""evidence_phrase"": ""Brings a practical approach to structured problem solving and cross-functional delivery."", ""evidence_sentence"": ""Brings a practical approach to structured problem solving and cross-functional delivery."", ""evidence_strength"": ""low""}, {""skill"": ""Regulatory Reporting"", ""evidence_phrase"": ""Business-focused analyst with experience across reporting, controls, and stakeholder engagement."", ""evidence_sentence"": ""Business-focused analyst with experience across reporting, controls, and stakeholder engagement."", ""evidence_strength"": ""low""}, {""skill"": ""Stakeholder Management"", ""evidence_phrase"": ""Business-focused analyst with experience across reporting, controls, and stakeholder engagement."", ""evidence_sentence"": ""Business-focused analyst with experience across reporting, controls, and stakeholder engagement."", ""evidence_strength"": ""medium""}, {""skill"": ""Risk Controls"", ""evidence_phrase"": ""Business-focused analyst with experience across reporting, controls, and stakeholder engagement."", ""evidence_sentence"": ""Business-focused analyst with experience across reporting, controls, and stakeholder engagement."", ""evidence_strength"": ""low""}, {""skill"": ""Programme Delivery"", ""evidence_phrase"": ""Brings a practical approach to structured problem solving and cross-functional delivery."", ""evidence_sentence"": ""Brings a practical approach to structured problem solving and cross-functional delivery."", ""evidence_strength"": ""low""}]",business focused analyst with experience across reporting controls and stakeholder engagement brings a practical approach to structured problem solving and cross functional delivery business focused analyst with experience across reporting controls and stakeholder engagement brings a practical approach to structured problem solving and cross functional delivery
84593961,"['Regulatory Reporting', 'ETL Design', 'Data Analysis', 'Data Governance', 'Stakeholder Management', 'SQL', 'Risk Controls', 'Power BI', 'Programme Delivery', 'Python']","Experienced consultant with a background in data, risk, and transformation delivery. Supports complex programmes with a focus on quality, pace, and collaboration.",experienced consultant with a background in data risk and transformation delivery supports complex programmes with a focus on quality pace and collaboration experienced consultant with a background in data risk and transformation delivery,Consultant Risk Analyst,"Biography: Experienced consultant with a background in data, risk, and transformation delivery. Supports complex programmes with a focus on quality, pace, and collaboration.","[{""skill"": ""Regulatory Reporting"", ""evidence_phrase"": ""Experienced consultant with a background in data, risk, and transformation delivery."", ""evidence_sentence"": ""Experienced consultant with a background in data, risk, and transformation delivery."", ""evidence_strength"": ""low""}, {""skill"": ""ETL Design"", ""evidence_phrase"": ""Experienced consultant with a background in data, risk, and transformation delivery."", ""evidence_sentence"": ""Experienced consultant with a background in data, risk, and transformation delivery."", ""evidence_strength"": ""low""}, {""skill"": ""Data Analysis"", ""evidence_phrase"": ""Experienced consultant with a background in data, risk, and transformation delivery."", ""evidence_sentence"": ""Experienced consultant with a background in data, risk, and transformation delivery."", ""evidence_strength"": ""low""}, {""skill"": ""Data Governance"", ""evidence_phrase"": ""Experienced consultant with a background in data, risk, and transformation delivery."", ""evidence_sentence"": ""Experienced consultant with a background in data, risk, and transformation delivery."", ""evidence_strength"": ""low""}, {""skill"": ""SQL"", ""evidence_phrase"": ""Experienced consultant with a background in data, risk, and transformation delivery."", ""evidence_sentence"": ""Experienced consultant with a background in data, risk, and transformation delivery."", ""evidence_strength"": ""low""}, {""skill"": ""Risk Controls"", ""evidence_phrase"": ""Experienced consultant with a background in data, risk, and transformation delivery."", ""evidence_sentence"": ""Experienced consultant with a background in data, risk, and transformation delivery."", ""evidence_strength"": ""low""}, {""skill"": ""Power BI"", ""evidence_phrase"": ""Experienced consultant with a background in data, risk, and transformation delivery."", ""evidence_sentence"": ""Experienced consultant with a background in data, risk, and transformation delivery."", ""evidence_strength"": ""low""}, {""skill"": ""Programme Delivery"", ""evidence_phrase"": ""Experienced consultant with a background in data, risk, and transformation delivery."", ""evidence_sentence"": ""Experienced consultant with a background in data, risk, and transformation delivery."", ""evidence_strength"": ""low""}, {""skill"": ""Python"", ""evidence_phrase"": ""Experienced consultant with a background in data, risk, and transformation delivery."", ""evidence_sentence"": ""Experienced consultant with a background in data, risk, and transformation delivery."", ""evidence_strength"": ""low""}]",experienced consultant with a background in data risk and transformation delivery supports complex programmes with a focus on quality pace and collaboration experienced consultant with a background in data risk and transformation delivery
9874152,"['Regulatory Reporting', 'Stakeholder Management', 'Python', 'Data Analysis', 'ETL Design', 'SQL', 'Risk Controls', 'Programme Delivery', 'Power BI']","Experienced consultant with a background in data, risk, and transformation delivery. Comfortable translating business needs into clear analysis and execution plans.",experienced consultant with a background in data risk and transformation delivery experienced consultant with a background in data risk and transformation delivery comfortable translating business needs into clear analysis and execution plans,Business Analyst Senior Consultant Risk Analyst Project Analyst,"Biography: Experienced consultant with a background in data, risk, and transformation delivery. Comfortable translating business needs into clear analysis and execution plans.","[{""skill"": ""Regulatory Reporting"", ""evidence_phrase"": ""Experienced consultant with a background in data, risk, and transformation delivery."", ""evidence_sentence"": ""Experienced consultant with a background in data, risk, and transformation delivery."", ""evidence_strength"": ""low""}, {""skill"": ""Python"", ""evidence_phrase"": ""Experienced consultant with a background in data, risk, and transformation delivery."", ""evidence_sentence"": ""Experienced consultant with a background in data, risk, and transformation delivery."", ""evidence_strength"": ""low""}, {""skill"": ""Data Analysis"", ""evidence_phrase"": ""Experienced consultant with a background in data, risk, and transformation delivery."", ""evidence_sentence"": ""Experienced consultant with a background in data, risk, and transformation delivery."", ""evidence_strength"": ""low""}, {""skill"": ""ETL Design"", ""evidence_phrase"": ""Experienced consultant with a background in data, risk, and transformation delivery."", ""evidence_sentence"": ""Experienced consultant with a background in data, risk, and transformation delivery."", ""evidence_strength"": ""low""}, {""skill"": ""SQL"", ""evidence_phrase"": ""Experienced consultant with a background in data, risk, and transformation delivery."", ""evidence_sentence"": ""Experienced consultant with a background in data, risk, and transformation delivery."", ""evidence_strength"": ""low""}, {""skill"": ""Risk Controls"", ""evidence_phrase"": ""Experienced consultant with a background in data, risk, and transformation delivery."", ""evidence_sentence"": ""Experienced consultant with a background in data, risk, and transformation delivery."", ""evidence_strength"": ""low""}, {""skill"": ""Programme Delivery"", ""evidence_phrase"": ""Experienced consultant with a background in data, risk, and transformation delivery."", ""evidence_sentence"": ""Experienced consultant with a background in data, risk, and transformation delivery."", ""evidence_strength"": ""low""}, {""skill"": ""Power BI"", ""evidence_phrase"": ""Experienced consultant with a background in data, risk, and transformation delivery."", ""evidence_sentence"": ""Experienced consultant with a background in data, risk, and transformation delivery."", ""evidence_strength"": ""low""}]",experienced consultant with a background in data risk and transformation delivery experienced consultant with a background in data risk and transformation delivery comfortable translating business needs into clear analysis and execution plans
877236,"['Programme Delivery', 'SQL', 'Stakeholder Management', 'Data Analysis', 'ETL Design', 'Regulatory Reporting', 'Data Governance', 'Power BI', 'Python', 'Risk Controls']","Experienced consultant with a background in data, risk, and transformation delivery. Supports complex programmes with a focus on quality, pace, and collaboration.",experienced consultant with a background in data risk and transformation delivery supports complex programmes with a focus on quality pace and collaboration experienced consultant with a background in data risk and transformation delivery,Project Analyst Consultant Data Analyst Risk Analyst Senior Consultant,"Biography: Experienced consultant with a background in data, risk, and transformation delivery. Supports complex programmes with a focus on quality, pace, and collaboration.","[{""skill"": ""Programme Delivery"", ""evidence_phrase"": ""Experienced consultant with a background in data, risk, and transformation delivery."", ""evidence_sentence"": ""Experienced consultant with a background in data, risk, and transformation delivery."", ""evidence_strength"": ""low""}, {""skill"": ""SQL"", ""evidence_phrase"": ""Experienced consultant with a background in data, risk, and transformation delivery."", ""evidence_sentence"": ""Experienced consultant with a background in data, risk, and transformation delivery."", ""evidence_strength"": ""low""}, {""skill"": ""Data Analysis"", ""evidence_phrase"": ""Experienced consultant with a background in data, risk, and transformation delivery."", ""evidence_sentence"": ""Experienced consultant with a background in data, risk, and transformation delivery."", ""evidence_strength"": ""low""}, {""skill"": ""ETL Design"", ""evidence_phrase"": ""Experienced consultant with a background in data, risk, and transformation delivery."", ""evidence_sentence"": ""Experienced consultant with a background in data, risk, and transformation delivery."", ""evidence_strength"": ""low""}, {""skill"": ""Regulatory Reporting"", ""evidence_phrase"": ""Experienced consultant with a background in data, risk, and transformation delivery."", ""evidence_sentence"": ""Experienced consultant with a background in data, risk, and transformation delivery."", ""evidence_strength"": ""low""}, {""skill"": ""Data Governance"", ""evidence_phrase"": ""Experienced consultant with a background in data, risk, and transformation delivery."", ""evidence_sentence"": ""Experienced consultant with a background in data, risk, and transformation delivery."", ""evidence_strength"": ""low""}, {""skill"": ""Power BI"", ""evidence_phrase"": ""Experienced consultant with a background in data, risk, and transformation delivery."", ""evidence_sentence"": ""Experienced consultant with a background in data, risk, and transformation delivery."", ""evidence_strength"": ""low""}, {""skill"": ""Python"", ""evidence_phrase"": ""Experienced consultant with a background in data, risk, and transformation delivery."", ""evidence_sentence"": ""Experienced consultant with a background in data, risk, and transformation delivery."", ""evidence_strength"": ""low""}, {""skill"": ""Risk Controls"", ""evidence_phrase"": ""Experienced consultant with a background in data, risk, and transformation delivery."", ""evidence_sentence"": ""Experienced consultant with a background in data, risk, and transformation delivery."", ""evidence_strength"": ""low""}]",experienced consultant with a background in data risk and transformation delivery supports complex programmes with a focus on quality pace and collaboration experienced consultant with a background in data risk and transformation delivery
8235969,"['Risk Controls', 'Data Governance', 'Power BI', 'SQL', 'Stakeholder Management', 'Python', 'Programme Delivery', 'Regulatory Reporting', 'ETL Design', 'Data Analysis']","Experienced consultant with a background in data, risk, and transformation delivery. Supports complex programmes with a focus on quality, pace, and collaboration.",experienced consultant with a background in data risk and transformation delivery experienced consultant with a background in data risk and transformation delivery supports complex programmes with a focus on quality pace and collaboration,Consultant Data Analyst Business Analyst Senior Consultant Risk Analyst,"Biography: Experienced consultant with a background in data, risk, and transformation delivery. Supports complex programmes with a focus on quality, pace, and collaboration.","[{""skill"": ""Risk Controls"", ""evidence_phrase"": ""Experienced consultant with a background in data, risk, and transformation delivery."", ""evidence_sentence"": ""Experienced consultant with a background in data, risk, and transformation delivery."", ""evidence_strength"": ""low""}, {""skill"": ""Data Governance"", ""evidence_phrase"": ""Experienced consultant with a background in data, risk, and transformation delivery."", ""evidence_sentence"": ""Experienced consultant with a background in data, risk, and transformation delivery."", ""evidence_strength"": ""low""}, {""skill"": ""Power BI"", ""evidence_phrase"": ""Experienced consultant with a background in data, risk, and transformation delivery."", ""evidence_sentence"": ""Experienced consultant with a background in data, risk, and transformation delivery."", ""evidence_strength"": ""low""}, {""skill"": ""SQL"", ""evidence_phrase"": ""Experienced consultant with a background in data, risk, and transformation delivery."", ""evidence_sentence"": ""Experienced consultant with a background in data, risk, and transformation delivery."", ""evidence_strength"": ""low""}, {""skill"": ""Python"", ""evidence_phrase"": ""Experienced consultant with a background in data, risk, and transformation delivery."", ""evidence_sentence"": ""Experienced consultant with a background in data, risk, and transformation delivery."", ""evidence_strength"": ""low""}, {""skill"": ""Programme Delivery"", ""evidence_phrase"": ""Experienced consultant with a background in data, risk, and transformation delivery."", ""evidence_sentence"": ""Experienced consultant with a background in data, risk, and transformation delivery."", ""evidence_strength"": ""low""}, {""skill"": ""Regulatory Reporting"", ""evidence_phrase"": ""Experienced consultant with a background in data, risk, and transformation delivery."", ""evidence_sentence"": ""Experienced consultant with a background in data, risk, and transformation delivery."", ""evidence_strength"": ""low""}, {""skill"": ""ETL Design"", ""evidence_phrase"": ""Experienced consultant with a background in data, risk, and transformation delivery."", ""evidence_sentence"": ""Experienced consultant with a background in data, risk, and transformation delivery."", ""evidence_strength"": ""low""}, {""skill"": ""Data Analysis"", ""evidence_phrase"": ""Experienced consultant with a background in data, risk, and transformation delivery."", ""evidence_sentence"": ""Experienced consultant with a background in data, risk, and transformation delivery."", ""evidence_strength"": ""low""}]",experienced consultant with a background in data risk and transformation delivery experienced consultant with a background in data risk and transformation delivery supports complex programmes with a focus on quality pace and collaboration
