talentlinkId,skill_id,skill,category,declared_skills_json,is_declared_skill,position_text,job_history_text,biography_text,combined_text,biography_tfidf_score,job_description_tfidf_score,biography_confidence_score,job_description_confidence_score,confidence_score,sum_tfidf_score,biography_competency_score,job_description_competency_score,sum_competency_score,competency_score_rank
1043037,SK001,Data Analysis,Analytics,"[""Programme Delivery"", ""Risk Controls"", ""Regulatory Reporting"", ""Data Analysis"", ""Data Governance"", ""Python"", ""Stakeholder Management"", ""Power BI"", ""ETL Design"", ""SQL""]",True,Project Analyst Data Analyst Risk Analyst Consultant,"Supported reporting and control improvements across a regulated programme. Contributed to stakeholder coordination, issue tracking, and process improvement activity. Supported reporting and control improvements across a regulated programme. Worked with business and technology teams to refine requirements and test delivery outputs. Worked with business and technology teams to refine requirements and test delivery outputs. Supported reporting and control improvements across a regulated programme. Contributed to stakeholder coordination, issue tracking, and process improvement activity. Worked with business and technology teams to refine requirements and test delivery outputs.","Consulting professional supporting data quality, governance, and delivery outcomes. Comfortable translating business needs into clear analysis and execution plans.","Consulting professional supporting data quality, governance, and delivery outcomes. Comfortable translating business needs into clear analysis and execution plans. Supported reporting and control improvements across a regulated programme. Contributed to stakeholder coordination, issue tracking, and process improvement activity. Supported reporting and control improvements across a regulated programme. Worked with business and technology teams to refine requirements and test delivery outputs. Worked with business and technology teams to refine requirements and test delivery outputs. Supported reporting and control improvements across a regulated programme. Contributed to stakeholder coordination, issue tracking, and process improvement activity. Worked with business and technology teams to refine requirements and test delivery outputs.",0.038246,0.016935,0.4,0.0,20.0,0.055181,1.53,0.0,1.53,4
1043037,SK002,Data Governance,Governance,"[""Programme Delivery"", ""Risk Controls"", ""Regulatory Reporting"", ""Data Analysis"", ""Data Governance"", ""Python"", ""Stakeholder Management"", ""Power BI"", ""ETL Design"", ""SQL""]",True,Project Analyst Data Analyst Risk Analyst Consultant,"Supported reporting and control improvements across a regulated programme. Contributed to stakeholder coordination, issue tracking, and process improvement activity. Supported reporting and control improvements across a regulated programme. Worked with business and technology teams to refine requirements and test delivery outputs. Worked with business and technology teams to refine requirements and test delivery outputs. Supported reporting and control improvements across a regulated programme. Contributed to stakeholder coordination, issue tracking, and process improvement activity. Worked with business and technology teams to refine requirements and test delivery outputs.","Consulting professional supporting data quality, governance, and delivery outcomes. Comfortable translating business needs into clear analysis and execution plans.","Consulting professional supporting data quality, governance, and delivery outcomes. Comfortable translating business needs into clear analysis and execution plans. Supported reporting and control improvements across a regulated programme. Contributed to stakeholder coordination, issue tracking, and process improvement activity. Supported reporting and control improvements across a regulated programme. Worked with business and technology teams to refine requirements and test delivery outputs. Worked with business and technology teams to refine requirements and test delivery outputs. Supported reporting and control improvements across a regulated programme. Contributed to stakeholder coordination, issue tracking, and process improvement activity. Worked with business and technology teams to refine requirements and test delivery outputs.",0.087212,0.008641,0.7,0.4,55.0,0.095853,6.1,0.35,6.45,1
1043037,SK003,ETL Design,Data Engineering,"[""Programme Delivery"", ""Risk Controls"", ""Regulatory Reporting"", ""Data Analysis"", ""Data Governance"", ""Python"", ""Stakeholder Management"", ""Power BI"", ""ETL Design"", ""SQL""]",True,Project Analyst Data Analyst Risk Analyst Consultant,"Supported reporting and control improvements across a regulated programme. Contributed to stakeholder coordination, issue tracking, and process improvement activity. Supported reporting and control improvements across a regulated programme. Worked with business and technology teams to refine requirements and test delivery outputs. Worked with business and technology teams to refine requirements and test delivery outputs. Supported reporting and control improvements across a regulated programme. Contributed to stakeholder coordination, issue tracking, and process improvement activity. Worked with business and technology teams to refine requirements and test delivery outputs.","Consulting professional supporting data quality, governance, and delivery outcomes. Comfortable translating business needs into clear analysis and execution plans.","Consulting professional supporting data quality, governance, and delivery outcomes. Comfortable translating business needs into clear analysis and execution plans. Supported reporting and control improvements across a regulated programme. Contributed to stakeholder coordination, issue tracking, and process improvement activity. Supported reporting and control improvements across a regulated programme. Worked with business and technology teams to refine requirements and test delivery outputs. Worked with business and technology teams to refine requirements and test delivery outputs. Supported reporting and control improvements across a regulated programme. Contributed to stakeholder coordination, issue tracking, and process improvement activity. Worked with business and technology teams to refine requirements and test delivery outputs.",0.006935,0.0,0.4,0.0,20.0,0.006935,0.28,0.0,0.28,9
1043037,SK004,Power BI,Analytics,"[""Programme Delivery"", ""Risk Controls"", ""Regulatory Reporting"", ""Data Analysis"", ""Data Governance"", ""Python"", ""Stakeholder Management"", ""Power BI"", ""ETL Design"", ""SQL""]",True,Project Analyst Data Analyst Risk Analyst Consultant,"Supported reporting and control improvements across a regulated programme. Contributed to stakeholder coordination, issue tracking, and process improvement activity. Supported reporting and control improvements across a regulated programme. Worked with business and technology teams to refine requirements and test delivery outputs. Worked with business and technology teams to refine requirements and test delivery outputs. Supported reporting and control improvements across a regulated programme. Contributed to stakeholder coordination, issue tracking, and process improvement activity. Worked with business and technology teams to refine requirements and test delivery outputs.","Consulting professional supporting data quality, governance, and delivery outcomes. Comfortable translating business needs into clear analysis and execution plans.","Consulting professional supporting data quality, governance, and delivery outcomes. Comfortable translating business needs into clear analysis and execution plans. Supported reporting and control improvements across a regulated programme. Contributed to stakeholder coordination, issue tracking, and process improvement activity. Supported reporting and control improvements across a regulated programme. Worked with business and technology teams to refine requirements and test delivery outputs. Worked with business and technology teams to refine requirements and test delivery outputs. Supported reporting and control improvements across a regulated programme. Contributed to stakeholder coordination, issue tracking, and process improvement activity. Worked with business and technology teams to refine requirements and test delivery outputs.",0.0,0.0,0.4,0.0,20.0,0.0,0.0,0.0,0.0,-1
1043037,SK005,Programme Delivery,Delivery,"[""Programme Delivery"", ""Risk Controls"", ""Regulatory Reporting"", ""Data Analysis"", ""Data Governance"", ""Python"", ""Stakeholder Management"", ""Power BI"", ""ETL Design"", ""SQL""]",True,Project Analyst Data Analyst Risk Analyst Consultant,"Supported reporting and control improvements across a regulated programme. Contributed to stakeholder coordination, issue tracking, and process improvement activity. Supported reporting and control improvements across a regulated programme. Worked with business and technology teams to refine requirements and test delivery outputs. Worked with business and technology teams to refine requirements and test delivery outputs. Supported reporting and control improvements across a regulated programme. Contributed to stakeholder coordination, issue tracking, and process improvement activity. Worked with business and technology teams to refine requirements and test delivery outputs.","Consulting professional supporting data quality, governance, and delivery outcomes. Comfortable translating business needs into clear analysis and execution plans.","Consulting professional supporting data quality, governance, and delivery outcomes. Comfortable translating business needs into clear analysis and execution plans. Supported reporting and control improvements across a regulated programme. Contributed to stakeholder coordination, issue tracking, and process improvement activity. Supported reporting and control improvements across a regulated programme. Worked with business and technology teams to refine requirements and test delivery outputs. Worked with business and technology teams to refine requirements and test delivery outputs. Supported reporting and control improvements across a regulated programme. Contributed to stakeholder coordination, issue tracking, and process improvement activity. Worked with business and technology teams to refine requirements and test delivery outputs.",0.032555,0.093713,0.4,0.4,40.0,0.126268,1.3,3.75,5.05,2
1043037,SK006,Python,Engineering,"[""Programme Delivery"", ""Risk Controls"", ""Regulatory Reporting"", ""Data Analysis"", ""Data Governance"", ""Python"", ""Stakeholder Management"", ""Power BI"", ""ETL Design"", ""SQL""]",True,Project Analyst Data Analyst Risk Analyst Consultant,"Supported reporting and control improvements across a regulated programme. Contributed to stakeholder coordination, issue tracking, and process improvement activity. Supported reporting and control improvements across a regulated programme. Worked with business and technology teams to refine requirements and test delivery outputs. Worked with business and technology teams to refine requirements and test delivery outputs. Supported reporting and control improvements across a regulated programme. Contributed to stakeholder coordination, issue tracking, and process improvement activity. Worked with business and technology teams to refine requirements and test delivery outputs.","Consulting professional supporting data quality, governance, and delivery outcomes. Comfortable translating business needs into clear analysis and execution plans.","Consulting professional supporting data quality, governance, and delivery outcomes. Comfortable translating business needs into clear analysis and execution plans. Supported reporting and control improvements across a regulated programme. Contributed to stakeholder coordination, issue tracking, and process improvement activity. Supported reporting and control improvements across a regulated programme. Worked with business and technology teams to refine requirements and test delivery outputs. Worked with business and technology teams to refine requirements and test delivery outputs. Supported reporting and control improvements across a regulated programme. Contributed to stakeholder coordination, issue tracking, and process improvement activity. Worked with business and technology teams to refine requirements and test delivery outputs.",0.020714,0.009414,0.4,0.0,20.0,0.030128,0.83,0.0,0.83,8
1043037,SK007,Regulatory Reporting,Compliance,"[""Programme Delivery"", ""Risk Controls"", ""Regulatory Reporting"", ""Data Analysis"", ""Data Governance"", ""Python"", ""Stakeholder Management"", ""Power BI"", ""ETL Design"", ""SQL""]",True,Project Analyst Data Analyst Risk Analyst Consultant,"Supported reporting and control improvements across a regulated programme. Contributed to stakeholder coordination, issue tracking, and process improvement activity. Supported reporting and control improvements across a regulated programme. Worked with business and technology teams to refine requirements and test delivery outputs. Worked with business and technology teams to refine requirements and test delivery outputs. Supported reporting and control improvements across a regulated programme. Contributed to stakeholder coordination, issue tracking, and process improvement activity. Worked with business and technology teams to refine requirements and test delivery outputs.","Consulting professional supporting data quality, governance, and delivery outcomes. Comfortable translating business needs into clear analysis and execution plans.","Consulting professional supporting data quality, governance, and delivery outcomes. Comfortable translating business needs into clear analysis and execution plans. Supported reporting and control improvements across a regulated programme. Contributed to stakeholder coordination, issue tracking, and process improvement activity. Supported reporting and control improvements across a regulated programme. Worked with business and technology teams to refine requirements and test delivery outputs. Worked with business and technology teams to refine requirements and test delivery outputs. Supported reporting and control improvements across a regulated programme. Contributed to stakeholder coordination, issue tracking, and process improvement activity. Worked with business and technology teams to refine requirements and test delivery outputs.",0.007013,0.032898,0.4,0.4,40.0,0.039911,0.28,1.32,1.6,3
1043037,SK008,Risk Controls,Risk,"[""Programme Delivery"", ""Risk Controls"", ""Regulatory Reporting"", ""Data Analysis"", ""Data Governance"", ""Python"", ""Stakeholder Management"", ""Power BI"", ""ETL Design"", ""SQL""]",True,Project Analyst Data Analyst Risk Analyst Consultant,"Supported reporting and control improvements across a regulated programme. Contributed to stakeholder coordination, issue tracking, and process improvement activity. Supported reporting and control improvements across a regulated programme. Worked with business and technology teams to refine requirements and test delivery outputs. Worked with business and technology teams to refine requirements and test delivery outputs. Supported reporting and control improvements across a regulated programme. Contributed to stakeholder coordination, issue tracking, and process improvement activity. Worked with business and technology teams to refine requirements and test delivery outputs.","Consulting professional supporting data quality, governance, and delivery outcomes. Comfortable translating business needs into clear analysis and execution plans.","Consulting professional supporting data quality, governance, and delivery outcomes. Comfortable translating business needs into clear analysis and execution plans. Supported reporting and control improvements across a regulated programme. Contributed to stakeholder coordination, issue tracking, and process improvement activity. Supported reporting and control improvements across a regulated programme. Worked with business and technology teams to refine requirements and test delivery outputs. Worked with business and technology teams to refine requirements and test delivery outputs. Supported reporting and control improvements across a regulated programme. Contributed to stakeholder coordination, issue tracking, and process improvement activity. Worked with business and technology teams to refine requirements and test delivery outputs.",0.0,0.030793,0.4,0.4,40.0,0.030793,0.0,1.23,1.23,6
1043037,SK009,SQL,Data Engineering,"[""Programme Delivery"", ""Risk Controls"", ""Regulatory Reporting"", ""Data Analysis"", ""Data Governance"", ""Python"", ""Stakeholder Management"", ""Power BI"", ""ETL Design"", ""SQL""]",True,Project Analyst Data Analyst Risk Analyst Consultant,"Supported reporting and control improvements across a regulated programme. Contributed to stakeholder coordination, issue tracking, and process improvement activity. Supported reporting and control improvements across a regulated programme. Worked with business and technology teams to refine requirements and test delivery outputs. Worked with business and technology teams to refine requirements and test delivery outputs. Supported reporting and control improvements across a regulated programme. Contributed to stakeholder coordination, issue tracking, and process improvement activity. Worked with business and technology teams to refine requirements and test delivery outputs.","Consulting professional supporting data quality, governance, and delivery outcomes. Comfortable translating business needs into clear analysis and execution plans.","Consulting professional supporting data quality, governance, and delivery outcomes. Comfortable translating business needs into clear analysis and execution plans. Supported reporting and control improvements across a regulated programme. Contributed to stakeholder coordination, issue tracking, and process improvement activity. Supported reporting and control improvements across a regulated programme. Worked with business and technology teams to refine requirements and test delivery outputs. Worked with business and technology teams to refine requirements and test delivery outputs. Supported reporting and control improvements across a regulated programme. Contributed to stakeholder coordination, issue tracking, and process improvement activity. Worked with business and technology teams to refine requirements and test delivery outputs.",0.018856,0.008572,0.4,0.4,40.0,0.027428,0.75,0.34,1.1,7
1043037,SK010,Stakeholder Management,Delivery,"[""Programme Delivery"", ""Risk Controls"", ""Regulatory Reporting"", ""Data Analysis"", ""Data Governance"", ""Python"", ""Stakeholder Management"", ""Power BI"", ""ETL Design"", ""SQL""]",True,Project Analyst Data Analyst Risk Analyst Consultant,"Supported reporting and control improvements across a regulated programme. Contributed to stakeholder coordination, issue tracking, and process improvement activity. Supported reporting and control improvements across a regulated programme. Worked with business and technology teams to refine requirements and test delivery outputs. Worked with business and technology teams to refine requirements and test delivery outputs. Supported reporting and control improvements across a regulated programme. Contributed to stakeholder coordination, issue tracking, and process improvement activity. Worked with business and technology teams to refine requirements and test delivery outputs.","Consulting professional supporting data quality, governance, and delivery outcomes. Comfortable translating business needs into clear analysis and execution plans.","Consulting professional supporting data quality, governance, and delivery outcomes. Comfortable translating business needs into clear analysis and execution plans. Supported reporting and control improvements across a regulated programme. Contributed to stakeholder coordination, issue tracking, and process improvement activity. Supported reporting and control improvements across a regulated programme. Worked with business and technology teams to refine requirements and test delivery outputs. Worked with business and technology teams to refine requirements and test delivery outputs. Supported reporting and control improvements across a regulated programme. Contributed to stakeholder coordination, issue tracking, and process improvement activity. Worked with business and technology teams to refine requirements and test delivery outputs.",0.015388,0.030897,0.0,0.4,20.0,0.046285,0.0,1.24,1.24,5
