talentlinkId,skill,competency_score
14265799,Data Analysis,40.0
14265799,Risk Controls,40.0
14265799,Python,40.0
14265799,Regulatory Reporting,40.0
14265799,Programme Delivery,40.0
70217,ETL Design,40.0
70217,Python,40.0
70217,SQL,40.0
70217,Data Governance,70.0
271339,Python,40.0
271339,Data Governance,40.0
271339,Regulatory Reporting,40.0
271339,Data Analysis,40.0
271339,Power BI,40.0
271339,Risk Controls,40.0
271339,ETL Design,40.0
271339,Programme Delivery,40.0
271339,Stakeholder Management,0.0
88320463,Regulatory Reporting,40.0
88320463,ETL Design,40.0
88320463,Stakeholder Management,40.0
88320463,Programme Delivery,40.0
88320463,Data Governance,40.0
88320463,Data Analysis,40.0
88320463,Power BI,40.0
88320463,SQL,40.0
88320463,Python,40.0
170674,SQL,40.0
170674,Programme Delivery,40.0
170674,Data Governance,70.0
170674,Python,40.0
170674,Data Analysis,40.0
170674,Power BI,40.0
170674,Regulatory Reporting,40.0
170674,Stakeholder Management,0.0
170674,Risk Controls,40.0
170674,ETL Design,40.0
662336,ETL Design,0.0
662336,SQL,40.0
662336,Power BI,40.0
662336,Data Governance,40.0
662336,Regulatory Reporting,40.0
662336,Stakeholder Management,70.0
662336,Risk Controls,40.0
662336,Data Analysis,0.0
662336,Python,0.0
662336,Programme Delivery,40.0
84593961,Regulatory Reporting,40.0
84593961,ETL Design,40.0
84593961,Data Analysis,40.0
84593961,Data Governance,40.0
84593961,Stakeholder Management,0.0
84593961,SQL,40.0
84593961,Risk Controls,40.0
84593961,Power BI,40.0
84593961,Programme Delivery,40.0
84593961,Python,40.0
9874152,Regulatory Reporting,40.0
9874152,Stakeholder Management,0.0
9874152,Python,40.0
9874152,Data Analysis,40.0
9874152,ETL Design,40.0
9874152,SQL,40.0
9874152,Risk Controls,40.0
9874152,Programme Delivery,40.0
9874152,Power BI,40.0
877236,Programme Delivery,40.0
877236,SQL,40.0
877236,Stakeholder Management,0.0
877236,Data Analysis,40.0
877236,ETL Design,40.0
877236,Regulatory Reporting,40.0
877236,Data Governance,40.0
877236,Power BI,40.0
877236,Python,40.0
877236,Risk Controls,40.0
8235969,Risk Controls,40.0
8235969,Data Governance,40.0
8235969,Power BI,40.0
8235969,SQL,40.0
8235969,Stakeholder Management,0.0
8235969,Python,40.0
8235969,Programme Delivery,40.0
8235969,Regulatory Reporting,40.0
8235969,ETL Design,40.0
8235969,Data Analysis,40.0
87844239,Regulatory Reporting,40.0
87844239,SQL,40.0
87844239,Data Governance,40.0
87844239,Risk Controls,40.0
87844239,Data Analysis,40.0
87844239,ETL Design,40.0
87844239,Programme Delivery,40.0
87844239,Python,40.0
87844239,Power BI,40.0
87844239,Stakeholder Management,0.0
76354180,Data Governance,40.0
76354180,Regulatory Reporting,40.0
76354180,Power BI,40.0
76354180,Data Analysis,40.0
76354180,SQL,40.0
76354180,Programme Delivery,40.0
76354180,Stakeholder Management,0.0
76354180,ETL Design,40.0
76354180,Risk Controls,40.0
76354180,Python,40.0
70407340,Stakeholder Management,0.0
70407340,Python,40.0
70407340,Power BI,40.0
70407340,Risk Controls,40.0
70407340,SQL,40.0
70407340,ETL Design,40.0
70407340,Programme Delivery,40.0
70407340,Regulatory Reporting,40.0
70407340,Data Governance,70.0
61645,SQL,40.0
61645,Programme Delivery,40.0
61645,Stakeholder Management,70.0
61645,Data Governance,40.0
61645,Data Analysis,0.0
61645,Risk Controls,40.0
61645,Python,0.0
61645,Regulatory Reporting,40.0
61645,ETL Design,0.0
61645,Power BI,40.0
91439,Power BI,40.0
91439,Python,40.0
91439,Data Analysis,40.0
91439,ETL Design,40.0
91439,Regulatory Reporting,40.0
91439,Risk Controls,40.0
91439,Programme Delivery,40.0
91439,Data Governance,70.0
84177,Stakeholder Management,70.0
84177,Data Analysis,0.0
84177,Risk Controls,40.0
84177,SQL,40.0
84177,Programme Delivery,40.0
84177,Power BI,40.0
84177,Python,0.0
84177,Regulatory Reporting,40.0
84177,Data Governance,40.0
971084,Data Governance,40.0
971084,ETL Design,0.0
971084,Power BI,40.0
971084,Regulatory Reporting,40.0
971084,Stakeholder Management,70.0
971084,Data Analysis,0.0
971084,Python,0.0
300845,ETL Design,40.0
300845,Data Analysis,40.0
300845,Risk Controls,40.0
300845,Power BI,40.0
300845,Stakeholder Management,0.0
300845,Programme Delivery,40.0
300845,Python,40.0
300845,Regulatory Reporting,40.0
300845,SQL,40.0
300845,Data Governance,70.0
55728776,Python,40.0
55728776,SQL,40.0
55728776,Power BI,40.0
55728776,Data Analysis,40.0
55728776,Risk Controls,40.0
55728776,Programme Delivery,40.0
55728776,Data Governance,40.0
55728776,Stakeholder Management,0.0
55728776,Regulatory Reporting,40.0
55728776,ETL Design,40.0
2010496,Programme Delivery,40.0
2010496,Data Governance,70.0
2010496,Power BI,40.0
2010496,Risk Controls,40.0
2010496,ETL Design,40.0
2010496,Stakeholder Management,40.0
2010496,SQL,40.0
2010496,Regulatory Reporting,40.0
2010496,Python,40.0
2010496,Data Analysis,40.0
779094,Regulatory Reporting,40.0
779094,Python,0.0
779094,SQL,40.0
779094,Risk Controls,40.0
779094,Data Governance,40.0
779094,ETL Design,0.0
779094,Power BI,40.0
779094,Data Analysis,0.0
779094,Stakeholder Management,70.0
779094,Programme Delivery,40.0
98117,Data Governance,0.0
98117,Python,40.0
98117,SQL,40.0
98117,ETL Design,0.0
98117,Stakeholder Management,70.0
98117,Programme Delivery,0.0
98117,Power BI,40.0
1043037,Programme Delivery,40.0
1043037,Risk Controls,40.0
1043037,Regulatory Reporting,40.0
1043037,Data Analysis,40.0
1043037,Data Governance,70.0
1043037,Python,40.0
1043037,Stakeholder Management,0.0
1043037,Power BI,40.0
1043037,ETL Design,40.0
1043037,SQL,40.0
626690,Data Analysis,0.0
626690,SQL,40.0
626690,Regulatory Reporting,40.0
626690,Power BI,40.0
626690,Stakeholder Management,70.0
626690,Data Governance,40.0
626690,ETL Design,0.0
626690,Risk Controls,40.0
626690,Python,0.0
626690,Programme Delivery,40.0
66881,ETL Design,0.0
66881,SQL,40.0
66881,Python,0.0
66881,Data Governance,40.0
66881,Stakeholder Management,70.0
44269370,Programme Delivery,40.0
44269370,Data Analysis,40.0
44269370,Stakeholder Management,0.0
44269370,Power BI,40.0
44269370,Data Governance,40.0
44269370,ETL Design,40.0
44269370,Risk Controls,40.0
44269370,Python,40.0
44269370,Regulatory Reporting,40.0
44269370,SQL,40.0
13358751,Regulatory Reporting,40.0
13358751,Risk Controls,40.0
13358751,ETL Design,0.0
13358751,Python,0.0
13358751,Stakeholder Management,70.0
13358751,Data Governance,40.0
13358751,Data Analysis,0.0
13358751,Power BI,40.0
13358751,SQL,40.0
13358751,Programme Delivery,40.0
47546086,Stakeholder Management,0.0
47546086,Power BI,40.0
47546086,Data Governance,40.0
47546086,ETL Design,40.0
47546086,SQL,40.0
47546086,Python,40.0
47546086,Programme Delivery,40.0
47546086,Risk Controls,40.0
47546086,Regulatory Reporting,40.0
47546086,Data Analysis,40.0
72422,Data Analysis,0.0
72422,Power BI,40.0
72422,Regulatory Reporting,40.0
72422,Programme Delivery,40.0
72422,SQL,40.0
72422,Risk Controls,40.0
72422,ETL Design,0.0
72422,Data Governance,40.0
72422,Stakeholder Management,70.0
7390515,SQL,40.0
7390515,Data Analysis,40.0
7390515,Stakeholder Management,0.0
7390515,Data Governance,40.0
7390515,Regulatory Reporting,40.0
7390515,Power BI,40.0
7390515,Programme Delivery,40.0
7390515,ETL Design,40.0
7390515,Python,40.0
7390515,Risk Controls,40.0
494468,SQL,40.0
494468,Regulatory Reporting,40.0
494468,Python,40.0
494468,Power BI,40.0
494468,Risk Controls,40.0
494468,Data Governance,70.0
494468,Programme Delivery,40.0
494468,ETL Design,40.0
494468,Stakeholder Management,0.0
494468,Data Analysis,40.0
47125,ETL Design,40.0
47125,Regulatory Reporting,40.0
47125,Data Analysis,40.0
47125,Data Governance,70.0
47125,Power BI,40.0
47125,Risk Controls,40.0
47125,Python,40.0
47125,Programme Delivery,40.0
47125,Stakeholder Management,40.0
47125,SQL,40.0
70260,Risk Controls,40.0
70260,ETL Design,0.0
70260,Regulatory Reporting,40.0
70260,Power BI,40.0
70260,Data Analysis,0.0
70260,Data Governance,40.0
70260,Programme Delivery,40.0
70260,Python,0.0
70260,SQL,40.0
70260,Stakeholder Management,70.0
71462,Stakeholder Management,40.0
